,0,1,2,3,4,5,6,7,8,9
0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,28.0,34,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,22.0,30,23.0,15.0,0.0,0.0,0.0,0.0,0.0,10.0
3,17.0,29,21.0,12.0,5.0,0.0,0.0,0.0,5.0,11.0
4,19.0,25,22.0,11.0,5.0,3.0,0.0,1.0,6.0,8.0
5,19.0,18,18.0,14.0,7.0,3.0,1.0,3.0,6.0,11.0
6,16.0,20,18.0,13.0,6.0,4.0,2.0,3.0,6.0,12.0
7,20.0,22,10.0,16.0,8.0,2.0,4.0,2.0,6.0,10.0
8,20.0,15,20.0,12.0,7.0,6.0,0.0,6.0,4.0,10.0
9,12.0,23,15.0,13.0,8.0,4.0,5.0,1.0,8.0,11.0
10,19.0,18,14.0,8.0,11.0,8.0,2.0,3.0,8.0,9.0
11,16.0,15,13.0,12.0,5.0,10.0,6.0,3.0,3.0,17.0
12,16.0,15,20.0,5.0,9.0,8.0,5.0,5.0,3.0,14.0
13,16.0,19,10.0,9.0,8.0,4.0,6.0,5.0,6.0,17.0
14,22.0,17,8.0,13.0,4.0,8.0,3.0,4.0,8.0,13.0
15,19.0,15,10.0,9.0,9.0,7.0,6.0,4.0,11.0,10.0
16,20.0,12,9.0,10.0,6.0,6.0,7.0,9.0,6.0,15.0
17,18.0,10,10.0,9.0,9.0,5.0,6.0,10.0,10.0,13.0
18,12.0,9,13.0,7.0,7.0,11.0,7.0,10.0,10.0,14.0
19,15.0,7,11.0,13.0,7.0,7.0,12.0,7.0,11.0,10.0
20,10.0,11,11.0,9.0,10.0,11.0,6.0,9.0,7.0,16.0
