,jumpnumber,numberOfFrogs,padNumber
0,0,100,1
1,1,28,0
2,1,34,1
3,1,38,2
4,2,22,0
5,2,30,1
6,2,23,2
7,2,15,3
8,2,10,9
9,3,17,0
10,3,29,1
11,3,21,2
12,3,12,3
13,3,5,4
14,3,5,8
15,3,11,9
16,4,19,0
17,4,25,1
18,4,22,2
19,4,11,3
20,4,5,4
21,4,3,5
22,4,1,7
23,4,6,8
24,4,8,9
25,5,19,0
26,5,18,1
27,5,18,2
28,5,14,3
29,5,7,4
30,5,3,5
31,5,1,6
32,5,3,7
33,5,6,8
34,5,11,9
35,6,16,0
36,6,20,1
37,6,18,2
38,6,13,3
39,6,6,4
40,6,4,5
41,6,2,6
42,6,3,7
43,6,6,8
44,6,12,9
45,7,20,0
46,7,22,1
47,7,10,2
48,7,16,3
49,7,8,4
50,7,2,5
51,7,4,6
52,7,2,7
53,7,6,8
54,7,10,9
55,8,20,0
56,8,15,1
57,8,20,2
58,8,12,3
59,8,7,4
60,8,6,5
61,8,6,7
62,8,4,8
63,8,10,9
64,9,12,0
65,9,23,1
66,9,15,2
67,9,13,3
68,9,8,4
69,9,4,5
70,9,5,6
71,9,1,7
72,9,8,8
73,9,11,9
74,10,19,0
75,10,18,1
76,10,14,2
77,10,8,3
78,10,11,4
79,10,8,5
80,10,2,6
81,10,3,7
82,10,8,8
83,10,9,9
84,11,16,0
85,11,15,1
86,11,13,2
87,11,12,3
88,11,5,4
89,11,10,5
90,11,6,6
91,11,3,7
92,11,3,8
93,11,17,9
94,12,16,0
95,12,15,1
96,12,20,2
97,12,5,3
98,12,9,4
99,12,8,5
100,12,5,6
101,12,5,7
102,12,3,8
103,12,14,9
104,13,16,0
105,13,19,1
106,13,10,2
107,13,9,3
108,13,8,4
109,13,4,5
110,13,6,6
111,13,5,7
112,13,6,8
113,13,17,9
114,14,22,0
115,14,17,1
116,14,8,2
117,14,13,3
118,14,4,4
119,14,8,5
120,14,3,6
121,14,4,7
122,14,8,8
123,14,13,9
124,15,19,0
125,15,15,1
126,15,10,2
127,15,9,3
128,15,9,4
129,15,7,5
130,15,6,6
131,15,4,7
132,15,11,8
133,15,10,9
134,16,20,0
135,16,12,1
136,16,9,2
137,16,10,3
138,16,6,4
139,16,6,5
140,16,7,6
141,16,9,7
142,16,6,8
143,16,15,9
144,17,18,0
145,17,10,1
146,17,10,2
147,17,9,3
148,17,9,4
149,17,5,5
150,17,6,6
151,17,10,7
152,17,10,8
153,17,13,9
154,18,12,0
155,18,9,1
156,18,13,2
157,18,7,3
158,18,7,4
159,18,11,5
160,18,7,6
161,18,10,7
162,18,10,8
163,18,14,9
164,19,15,0
165,19,7,1
166,19,11,2
167,19,13,3
168,19,7,4
169,19,7,5
170,19,12,6
171,19,7,7
172,19,11,8
173,19,10,9
174,20,10,0
175,20,11,1
176,20,11,2
177,20,9,3
178,20,10,4
179,20,11,5
180,20,6,6
181,20,9,7
182,20,7,8
183,20,16,9
