,0,1,2,3,4,5,6,7,8,9
0,0.0,10000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3329.0,3393,3278.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2248.0,3379,2177.0,1088.0,0.0,0.0,0.0,0.0,0.0,1108.0
3,2173.0,2638,2249.0,1061.0,361.0,0.0,0.0,0.0,370.0,1148.0
4,1944.0,2329,1985.0,1254.0,457.0,135.0,0.0,131.0,511.0,1254.0
5,1852.0,2072,1863.0,1219.0,616.0,202.0,100.0,208.0,625.0,1243.0
6,1709.0,1983,1717.0,1202.0,667.0,303.0,167.0,313.0,718.0,1221.0
7,1630.0,1829,1676.0,1154.0,714.0,363.0,260.0,402.0,766.0,1206.0
8,1510.0,1699,1575.0,1176.0,757.0,437.0,338.0,485.0,786.0,1237.0
9,1502.0,1568,1501.0,1196.0,797.0,475.0,432.0,553.0,807.0,1169.0
10,1401.0,1560,1403.0,1157.0,807.0,563.0,492.0,622.0,832.0,1163.0
11,1358.0,1422,1416.0,1078.0,845.0,643.0,571.0,619.0,870.0,1178.0
12,1323.0,1405,1342.0,1122.0,805.0,698.0,593.0,724.0,847.0,1141.0
13,1334.0,1303,1324.0,1104.0,907.0,672.0,713.0,672.0,883.0,1088.0
14,1250.0,1287,1226.0,1108.0,924.0,777.0,635.0,793.0,861.0,1139.0
15,1234.0,1262,1171.0,1067.0,981.0,778.0,695.0,769.0,948.0,1095.0
16,1161.0,1263,1138.0,1069.0,951.0,818.0,747.0,799.0,961.0,1093.0
17,1176.0,1181,1168.0,1021.0,950.0,831.0,783.0,825.0,987.0,1078.0
18,1124.0,1223,1086.0,1070.0,945.0,832.0,803.0,900.0,935.0,1082.0
19,1128.0,1086,1168.0,1039.0,921.0,854.0,898.0,868.0,936.0,1102.0
20,1085.0,1136,1133.0,1033.0,923.0,870.0,883.0,946.0,964.0,1027.0
21,1044.0,1140,1136.0,1020.0,920.0,891.0,899.0,890.0,1025.0,1035.0
22,1078.0,1107,1058.0,1024.0,928.0,890.0,925.0,948.0,966.0,1076.0
