,jumpnumber,numberOfFrogs,padNumber
0,0,10000,1
1,1,3329,0
2,1,3393,1
3,1,3278,2
4,2,2248,0
5,2,3379,1
6,2,2177,2
7,2,1088,3
8,2,1108,9
9,3,2173,0
10,3,2638,1
11,3,2249,2
12,3,1061,3
13,3,361,4
14,3,370,8
15,3,1148,9
16,4,1944,0
17,4,2329,1
18,4,1985,2
19,4,1254,3
20,4,457,4
21,4,135,5
22,4,131,7
23,4,511,8
24,4,1254,9
25,5,1852,0
26,5,2072,1
27,5,1863,2
28,5,1219,3
29,5,616,4
30,5,202,5
31,5,100,6
32,5,208,7
33,5,625,8
34,5,1243,9
35,6,1709,0
36,6,1983,1
37,6,1717,2
38,6,1202,3
39,6,667,4
40,6,303,5
41,6,167,6
42,6,313,7
43,6,718,8
44,6,1221,9
45,7,1630,0
46,7,1829,1
47,7,1676,2
48,7,1154,3
49,7,714,4
50,7,363,5
51,7,260,6
52,7,402,7
53,7,766,8
54,7,1206,9
55,8,1510,0
56,8,1699,1
57,8,1575,2
58,8,1176,3
59,8,757,4
60,8,437,5
61,8,338,6
62,8,485,7
63,8,786,8
64,8,1237,9
65,9,1502,0
66,9,1568,1
67,9,1501,2
68,9,1196,3
69,9,797,4
70,9,475,5
71,9,432,6
72,9,553,7
73,9,807,8
74,9,1169,9
75,10,1401,0
76,10,1560,1
77,10,1403,2
78,10,1157,3
79,10,807,4
80,10,563,5
81,10,492,6
82,10,622,7
83,10,832,8
84,10,1163,9
85,11,1358,0
86,11,1422,1
87,11,1416,2
88,11,1078,3
89,11,845,4
90,11,643,5
91,11,571,6
92,11,619,7
93,11,870,8
94,11,1178,9
95,12,1323,0
96,12,1405,1
97,12,1342,2
98,12,1122,3
99,12,805,4
100,12,698,5
101,12,593,6
102,12,724,7
103,12,847,8
104,12,1141,9
105,13,1334,0
106,13,1303,1
107,13,1324,2
108,13,1104,3
109,13,907,4
110,13,672,5
111,13,713,6
112,13,672,7
113,13,883,8
114,13,1088,9
115,14,1250,0
116,14,1287,1
117,14,1226,2
118,14,1108,3
119,14,924,4
120,14,777,5
121,14,635,6
122,14,793,7
123,14,861,8
124,14,1139,9
125,15,1234,0
126,15,1262,1
127,15,1171,2
128,15,1067,3
129,15,981,4
130,15,778,5
131,15,695,6
132,15,769,7
133,15,948,8
134,15,1095,9
135,16,1161,0
136,16,1263,1
137,16,1138,2
138,16,1069,3
139,16,951,4
140,16,818,5
141,16,747,6
142,16,799,7
143,16,961,8
144,16,1093,9
