,jumpnumber,numberOfFrogs,padNumber
0,0,100,1
1,1,34,0
2,1,25,1
3,1,41,2
4,2,26,0
5,2,35,1
6,2,20,2
7,2,10,3
8,2,9,4
9,3,20,0
10,3,35,1
11,3,14,2
12,3,15,3
13,3,16,4
14,4,30,0
15,4,22,1
16,4,22,2
17,4,10,3
18,4,16,4
19,5,24,0
20,5,24,1
21,5,20,2
22,5,16,3
23,5,16,4
24,6,22,0
25,6,20,1
26,6,23,2
27,6,19,3
28,6,16,4
29,7,21,0
30,7,18,1
31,7,19,2
32,7,22,3
33,7,20,4
34,8,27,0
35,8,16,1
36,8,19,2
37,8,13,3
38,8,25,4
39,9,25,0
40,9,20,1
41,9,19,2
42,9,20,3
43,9,16,4
44,10,24,0
45,10,23,1
46,10,13,2
47,10,19,3
48,10,21,4
