,0,1,2,3,4,5,6,7,8,9
0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,29.0,33,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,15.0,33,29.0,12.0,0.0,0.0,0.0,0.0,0.0,11.0
3,26.0,23,22.0,17.0,2.0,0.0,0.0,0.0,5.0,5.0
4,18.0,14,28.0,15.0,5.0,0.0,0.0,0.0,6.0,14.0
5,18.0,15,20.0,17.0,7.0,1.0,0.0,1.0,5.0,16.0
6,15.0,24,10.0,19.0,8.0,2.0,1.0,3.0,8.0,10.0
7,14.0,20,18.0,11.0,8.0,7.0,1.0,6.0,8.0,7.0
8,15.0,20,17.0,10.0,9.0,5.0,3.0,5.0,6.0,10.0
9,12.0,17,16.0,14.0,6.0,6.0,8.0,5.0,4.0,12.0
10,12.0,16,12.0,12.0,10.0,7.0,5.0,7.0,8.0,11.0
11,18.0,10,16.0,14.0,7.0,3.0,9.0,6.0,8.0,9.0
12,17.0,13,9.0,16.0,7.0,7.0,5.0,8.0,9.0,9.0
13,13.0,12,8.0,10.0,11.0,9.0,5.0,10.0,7.0,15.0
14,16.0,8,10.0,9.0,11.0,8.0,7.0,9.0,11.0,11.0
15,11.0,14,11.0,10.0,7.0,10.0,5.0,11.0,10.0,11.0
16,9.0,15,6.0,13.0,11.0,5.0,10.0,9.0,13.0,9.0
17,12.0,5,14.0,9.0,16.0,5.0,4.0,14.0,10.0,11.0
18,13.0,9,9.0,11.0,9.0,10.0,6.0,10.0,16.0,7.0
19,11.0,10,11.0,12.0,7.0,8.0,10.0,10.0,11.0,10.0
20,12.0,12,11.0,9.0,9.0,8.0,7.0,12.0,9.0,11.0
